gene	parentterm	Sider_MI	Sider_drug	OT_MI	OT_maxPhaseForIndication	OT_drug	phenotype_omim	phenotype_coloc	phenotype_eqtl_Pheno	phenotype_coloc_tissue	phenotype_Pheno_hgmd	phenotype_Pheno_genebass	Opentargets_Pheno_eva	Opentargets_OTG_lessL2G	genescores_Tissuespecific_PT_V80.01	phenotype_eqtl_tissue	genescores_oe_dichotomized	genescoresum	Number_predictors	order	percent	category	parentterm_description	Clinvar_phenotype_description	Colocpheno_phenotype_description	Coloctissue_phenotype_description	Eqtlpheno_phenotype_description	Eqtltissue_phenotype_description	Genebass_phenotype_description	Hgmd_phenotype_description	Omim_phenotype_description	OTG_less_l2g_phenotype_description	Druggable_gene	OR_cutoff	therapeutic
FRRS1L	411	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6808478	99.3182995123417	circulatory system	Ischemic Heart Disease	0	Myocardial infarction	BreastMammaryTissue;Lung	0	0	Date I21 first reported (acute myocardial infarction);Date I20 first reported (angina pectoris);Date I25 first reported (chronic ischaemic heart disease)	0	0	0	Not druggable	5	0
TP53BP2	704	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6810175	99.3430544067943	dermatologic	Diseases of hair and hair follicles	0	Hair/balding pattern: Pattern 4	MuscleSkeletal	0	0	Date L66 first reported (cicatricial alopecia [scarring hair loss]);Date L68 first reported (hypertrichosis)	0	0	0	Not druggable	5	0
EMC8	701	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753248	98.5126349156335	dermatologic	Other hypertrophic and atrophic conditions of skin	0	Diagnoses - main ICD10: L72 Follicular cysts of skin and subcutaneous tissue	0	0	0	Date L91 first reported (hypertrophic disorders of skin)	0	0	0	Not druggable	4	0
PLIN5	427	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6810680	99.3504210666048	circulatory system	Cardiac dysrhythmias	0	Diagnoses - main ICD10: I48 Atrial fibrillation and flutter;Atrial fibrillation and flutter;Other specified cardiac dysrhythmias	Stomach;ColonSigmoid;HeartAtrialAppendage;Pituitary	0	0	Date I46 first reported (cardiac arrest)	0	0	0	Not druggable	5	0
GOLGA1	327	NA	NA	NA	NA	NA	0	1	1	1	0	0	0	0	0	1	0	1.73637699607588	4	6840279	99.7821948561751	neurological	Sleep disorders	0	Diagnoses - main ICD10: G47 Sleep disorders	NerveTibial	Daytime dozing / sleeping (narcolepsy)	NerveTibial	0	0	0	0	Not druggable	6	0
ZNF576	278	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6814041	99.3994494698193	endocrine/metabolic	Overweight, obesity and other hyperalimentation	0	Overweight, obesity and other hyperalimentation	BrainCaudatebasalganglia	0	0	Date E66 first reported (obesity)	0	0	0	Not druggable	5	0
RAB24	275	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6760551	98.6191670277059	hematopoietic	Disorders of iron metabolism	0	Non-cancer illness code, self-reported: iron deficiency anaemia	0	0	0	Date E83 first reported (disorders of mineral metabolism)	0	0	0	Not druggable	4	0
TRIM72	695	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753846	98.5213582078448	dermatologic	Erythematous conditions	0	Lupus (localized and systemic)	0	0	0	Date L93 first reported (lupus erythematosus);Date L52 first reported (erythema nodosum)	0	0	0	DRUGGABLE GENOME	4	0
ADAMTS16	371	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6747225	98.424774733378	sense organs	Inflammation of the eye	0	Inflammation of the eye	0	0	0	Date H20 first reported (iridocyclitis)	0	0	0	DRUGGABLE GENOME	4	0
MEFV	695	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	0	1	0	0	2.51356835410015	5	6852593	99.9618246559916	dermatologic	Erythematous conditions	Acute febrile neutrophilic dermatosis	0	0	0	0	Date L71 first reported (rosacea)	mediterranean fever%2c familial	neutrophilic dermatosis, acute febrile, 608068 (3)	0	DRUGGABLE GENOME	6	0
GAA	428	NA	NA	NA	NA	NA	0	0	0	0	1	1	0	0	0	0	0	1.06968744159571	2	6779787	98.8997711229853	circulatory system	Congestive heart failure; nonhypertensive	0	0	0	0	0	Date I50 first reported (heart failure)	glycogen storage disease 2	0	0	DRUGGABLE GENOME	5	0
BAIAP2L1	585	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6742489	98.3556885930555	genitourinary	Renal failure	0	Chronic renal failure [CKD]	0	0	0	Date N18 first reported (chronic renal failure)	0	0	0	Not druggable	4	0
PI4KA	344	NA	NA	NA	NA	NA	0	0	0	1	1	0	0	0	0	0	0	0.992945238071303	2	6767119	98.7149773675788	neurological	Other paralytic syndromes	0	0	ArteryCoronary	0	0	0	spastic paraplegia	0	0	DRUGGABLE GENOME	4	0
EDNRB	555	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	1	0	1.49786004153693	4	6832662	99.6710822863195	digestive	Inflammatory bowel disease and other gastroenteritis and colitis	0	0	Spleen	0	Spleen	Date K50 first reported (crohn's disease [regional enteritis]);Date K51 first reported (ulcerative colitis)	0	0	Ulcerative colitis	DRUGGABLE GENOME	6	0
ANKRD12	296	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	1	1.10728347878633	4	6783123	98.9484348400705	mental disorders	Mood disorders	0	Manic/hyper symptoms: I needed less sleep than usual	BrainCortex	0	0	Date F31 first reported (bipolar affective disorder);Date F39 first reported (unspecified mood [affective] disorder);Date F34 first reported (persistent mood [affective] disorders)	0	0	0	Not druggable	5	0
VAV2	366	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6821069	99.5019700344701	sense organs	Cataract	0	Cataract;Senile cataract	ArteryTibial;EsophagusGastroesophagealJunction;EsophagusMuscularis;NerveTibial;ArteryAorta	0	0	Date H25 first reported (senile cataract);Date H26 first reported (other cataract)	0	0	0	Not druggable	5	0
INTS11	395	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6810522	99.348116250268	circulatory system	Heart valve disorders	0	Non-cancer illness code, self-reported: heart valve problem/heart murmur	Uterus	0	0	Date I35 first reported (nonrheumatic aortic valve disorders)	0	0	0	Not druggable	5	0
NUFIP1	696	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6800885	99.2075370411701	dermatologic	Psoriasis and related disorders	0	0	0	0	0	Date L40 first reported (psoriasis)	0	0	Psoriasis;Psoriasis [EA]	Not druggable	5	0
SUSD2	535	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6815179	99.4160499824221	digestive	Gastritis and duodenitis	0	Diagnoses - main ICD10: K29 Gastritis and duodenitis	AdrenalGland;BrainFrontalCortexBA9;Liver;Spleen	0	0	Date K25 first reported (gastric ulcer)	0	0	0	Not druggable	5	0
FGFR4	275	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753286	98.5131892385499	hematopoietic	Disorders of iron metabolism	0	Non-cancer illness code, self-reported: iron deficiency anaemia	0	0	0	Date E83 first reported (disorders of mineral metabolism)	0	0	0	DRUGGABLE GENOME	4	0
NBEAL1	550	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	1	0	1.32640877438357	5	6821711	99.5113351742689	digestive	Abdominal hernia	0	Inguinal hernia	AdiposeVisceralOmentum;Vagina	0	AdiposeVisceralOmentum;Stomach	Date K41 first reported (femoral hernia);Date K42 first reported (umbilical hernia);Date K43 first reported (ventral hernia);Date K46 first reported (unspecified abdominal hernia)	0	0	0	Not druggable	5	0
ARFGAP3	411	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6818563	99.4654138968755	circulatory system	Ischemic Heart Disease	0	Vascular/heart problems diagnosed by doctor: Angina	AdiposeSubcutaneous;AdiposeVisceralOmentum;ArteryAorta;ArteryTibial;BreastMammaryTissue;Lung	0	0	Date I21 first reported (acute myocardial infarction);Date I20 first reported (angina pectoris);Date I25 first reported (chronic ischaemic heart disease);Date I24 first reported (other acute ischaemic heart diseases)	0	0	0	Not druggable	5	0
AGPAT4	550	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6755898	98.5512916453325	digestive	Abdominal hernia	0	Diaphragmatic hernia	0	0	0	Date K42 first reported (umbilical hernia)	0	0	0	Not druggable	4	0
HEXB	242	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6747550	98.429515653058	endocrine/metabolic	Thyrotoxicosis with or without goiter	0	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	0	0	0	Date E05 first reported (thyrotoxicosis [hyperthyroidism])	0	0	0	Not druggable	4	0
PARP10	315	NA	NA	NA	NA	NA	0	0	0	1	1	0	0	0	0	0	0	0.992945238071303	2	6768135	98.729798211871	mental disorders	Develomental delays and disorders	0	0	Thyroid	0	0	0	developmental delay	0	0	DRUGGABLE GENOME	4	0
YPEL5	557	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6803202	99.2413361516277	digestive	Intestinal malabsorption (non-celiac)	0	0	0	0	0	Date K90 first reported (intestinal malabsorption)	0	0	Celiac disease and Rheumatoid arthritis	Not druggable	5	0
HLA-DQB1	292	NA	NA	NA	NA	NA	1	1	0	1	0	0	0	0	0	1	0	1.25038433519089	4	6799959	99.1940290669432	mental disorders	Neurological disorders	0	Manic/hyper symptoms: I was more talkative than usual	BreastMammaryTissue	0	BreastMammaryTissue	0	0	{creutzfeldt-jakob disease, variant, resistance to}, 123400 (3)	0	Not druggable	5	0
CD37	335	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	0	0	0	1.20748821853404	2	6796634	99.1455258117549	neurological	Multiple sclerosis	0	0	AdiposeVisceralOmentum;WholeBlood	0	0	0	0	0	Multiple sclerosis	DRUGGABLE GENOME	5	0
ATXN10	728	NA	NA	NA	NA	NA	0	1	1	1	0	0	0	0	0	1	0	1.73637699607588	4	6840482	99.7851561075445	musculoskeletal	Disorders of muscle, ligament, and fascia	0	Diagnoses - main ICD10: M72 Fibroblastic disorders;Contracture of palmar fascia [Dupuytren's disease];Fasciitis;Disorders of muscle, ligament, and fascia	ArteryAorta;ArteryTibial	NA,Disorders of muscle, ligament, and fascia,Contracture of palmar fascia [Dupuytren's disease],Fasciitis	ArteryAorta;ArteryTibial	0	0	0	0	Not druggable	6	0
PCDH7	415	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6805482	99.2745955266141	circulatory system	Pulmonary heart disease	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung	NerveTibial	0	0	Date I26 first reported (pulmonary embolism)	0	0	0	Not druggable	5	0
LARP7	295	NA	NA	NA	NA	NA	0	0	0	0	1	1	0	0	0	0	0	1.06968744159571	2	6779067	98.8892681624633	mental disorders	Schizophrenia and other psychotic disorders	0	0	0	0	0	Date F29 first reported (unspecified nonorganic psychosis);Date F20 first reported (schizophrenia)	schizophrenia	0	0	Not druggable	5	0
GLIS1	735	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6776500	98.8518221907133	musculoskeletal	Acquired foot deformities	0	Acquired toe deformities	ArteryTibial	0	0	0	0	0	0	Not druggable	5	0
